dataset,video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
Something-Something v2,90498.webm,Burying something in something,Burying something in something,Burying something in something,Burying something in something,Pushing something so that it almost falls off but doesnt,1,1,1
Something-Something v2,17017.webm,Pushing something off of something,Holding something,Pushing something off of something,Pretending to put something behind something,Pretending to put something behind something,0,1,0
Something-Something v2,215074.webm,Something falling like a feather or paper,Holding something,Dropping something into something,Holding something next to something,Putting something next to something,0,0,0
Something-Something v2,123937.webm,Dropping something behind something,No action,Dropping something behind something,Pretending to be tearing something that is not tearable,Pretending to be tearing something that is not tearable,0,1,0
Something-Something v2,61442.webm,Holding something next to something,Holding something,Holding something next to something,Holding something,"Laying something on the table on its side, not upright",1,1,1
Something-Something v2,36565.webm,Pouring something into something until it overflows,Pouring something into something,Pouring something into something,Pouring something into something,"Removing something, revealing something behind",1,1,1
Something-Something v2,219674.webm,Something being deflected from something,No action,Dropping something onto something,Burying something in something,Burying something in something,0,0,0
Something-Something v2,182936.webm,Twisting (wringing) something wet until water comes out,Bending something until it breaks,Twisting (wringing) something wet until water comes out,Dropping something onto something,Spilling something onto something,0,1,0
Something-Something v2,57018.webm,Showing something next to something,None,Holding something next to something,Failing to put something into something because something does not fit,Failing to put something into something because something does not fit,0,0,0
Something-Something v2,157046.webm,Pretending to poke something,Poking a hole into something soft,Pretending to poke something,Pulling two ends of something but nothing happens,Pulling two ends of something but nothing happens,0,1,0
Something-Something v2,78099.webm,"Putting something that cannot actually stand upright upright on the table, so it falls on its side",Holding something,"Putting something that cannot actually stand upright upright on the table, so it falls on its side.",Poking a stack of something so the stack collapses,Poking something so that it falls over,0,1,0
Something-Something v2,52122.webm,Attaching something to something,Holding something,Attaching something to something,Holding something,Turning the camera right while filming something,0,1,0
Something-Something v2,80516.webm,Unfolding something,Folding something,Unfolding something,Holding something behind something,Holding something behind something,1,1,0
Something-Something v2,192587.webm,Poking something so that it falls over,Pointing,Poking something so that it falls over.,Turning the camera right while filming something,Turning the camera right while filming something,0,1,0
Something-Something v2,220560.webm,Throwing something in the air and letting it fall,Opening something,Dropping something in front of something,Dropping something into something,Dropping something into something,0,0,0
Something-Something v2,95645.webm,Turning the camera downwards while filming something,Holding something,Turning the camera downwards while filming something,Holding something,Digging something out of something,0,1,0
Something-Something v2,64409.webm,Poking something so that it spins around,"Lifting something up completely, then letting it drop down",Poking something so that it spins around,Pretending or trying and failing to twist something,Pretending or trying and failing to twist something,0,1,0
Something-Something v2,85566.webm,Putting something behind something,Opening something,Putting something behind something,Poking a hole into some substance,Poking a hole into some substance,0,1,0
Something-Something v2,49166.webm,Plugging something into something but pulling it right out as you remove your hand,Plugging something into something,Plugging something into something but pulling it right out as you remove your hand,Plugging something into something,Closing something,1,1,1
Something-Something v2,107237.webm,Holding something over something,Holding something,Holding something over something,Touching (without moving) part of something,Touching (without moving) part of something,1,1,0
Something-Something v2,43925.webm,Pushing something so that it falls off the table,Opening something,Pushing something so that it falls off the table,Moving something and something so they pass each other.,Moving something and something so they pass each other,0,1,0
Something-Something v2,126988.webm,Pulling something onto something,Dropping something onto something,Pulling something onto something,Pouring something onto something,Pouring something onto something,0,1,0
Something-Something v2,149616.webm,Bending something so that it deforms,Holding something,Bending something so that it deforms,Holding something,Moving part of something,0,1,0
Something-Something v2,92861.webm,Scooping something up with something,Holding something,"Pretending to pour something out of something, but something is empty",Holding something,"Removing something, revealing something behind",0,0,0
Something-Something v2,201114.webm,Moving something down,Dropping something next to something,Moving something down,Unfolding something,Unfolding something,0,1,0
Something-Something v2,155815.webm,Dropping something onto something,Holding something,Dropping something onto something,Lifting up one end of something without letting it drop down,Lifting up one end of something without letting it drop down,0,1,0
Something-Something v2,54203.webm,Putting something on a flat surface without letting it roll,Holding something,Putting something on a flat surface without letting it roll.,Holding something,Stuffing something into something,0,1,0
Something-Something v2,47418.webm,Pretending to throw something,Holding something,Pretending to throw something,Poking something so it slightly moves,Poking something so it slightly moves,0,1,0
Something-Something v2,147851.webm,Something falling like a rock,No action,Dropping something into something,Putting something upright on the table,Putting something upright on the table,0,0,0
Something-Something v2,125399.webm,Something falling like a feather or paper,Opening something,Dropping something onto something,Pretending to be tearing something that is not tearable,Pretending to be tearing something that is not tearable,0,0,0
Something-Something v2,150101.webm,Pretending to put something onto something,Holding something,Pretending to put something onto something,Holding something,Pushing something off of something,0,1,0
Something-Something v2,41770.webm,Picking something up,Holding something,Picking something up,Moving something closer to something,Moving something closer to something,0,1,0
Something-Something v2,198670.webm,"Lifting up one end of something, then letting it drop down",Closing something,"Lifting up one end of something, then letting it drop down.",Tilting something with something on it slightly so it doesnt fall down,Tilting something with something on it slightly so it doesnt fall down,0,1,0
Something-Something v2,19191.webm,Trying to bend something unbendable so nothing happens,Bending something until it breaks,Trying to bend something unbendable so nothing happens,Dropping something onto something,Throwing something onto a surface,0,1,0
Something-Something v2,169374.webm,Letting something roll down a slanted surface,Holding something,Letting something roll down a slanted surface,Lifting up one end of something without letting it drop down,Lifting up one end of something without letting it drop down,0,1,0
Something-Something v2,149928.webm,Pushing something off of something,Pretending to be tearing something that is not tearable,Pushing something off of something,Moving something away from the camera,Moving something away from the camera,0,1,0
Something-Something v2,47759.webm,Digging something out of something,Digging something out of something,Digging something out of something,Pretending to squeeze something,Pretending to squeeze something,1,1,0
Something-Something v2,70900.webm,Taking one of many similar things on the table,Dropping something onto something,Taking one of many similar things on the table,Lifting something up completely without letting it drop down,Lifting something up completely without letting it drop down,0,1,0
Something-Something v2,27529.webm,Poking a hole into something soft,Holding something,Holding something,Holding something,Tearing something into two pieces,0,0,0
Something-Something v2,21452.webm,Spilling something onto something,Pouring something into something,Pouring something onto something,Covering something with something,Covering something with something,0,0,0
Something-Something v2,55319.webm,Tearing something into two pieces,Folding something,Tearing something into two pieces,Pretending to sprinkle air onto something,Pretending to sprinkle air onto something,0,1,0
Something-Something v2,106314.webm,Showing that something is inside something,None,Showing that something is inside something,Pretending to take something out of something,Taking something out of something,0,1,0
Something-Something v2,1321.webm,Pouring something onto something,Pouring something into something,Pouring something onto something,Pouring something into something,Pushing something so it spins,0,1,0
Something-Something v2,166155.webm,Pouring something out of something,Pouring something into something,Pouring something out of something,Pouring something into something,Putting number of something onto something,0,1,0
Something-Something v2,210805.webm,Moving something and something closer to each other,Holding something,Holding something,Poking a hole into some substance,Poking a hole into some substance,0,0,0
Something-Something v2,65077.webm,Wiping something off of something,No action,Wiping something off of something,Holding something next to something,Holding something next to something,0,1,0
Something-Something v2,18368.webm,Pulling something onto something,Holding something,Pulling something onto something,Holding something,Throwing something against something,0,1,0
Something-Something v2,141973.webm,Throwing something against something,Holding something,Hitting something with something,Trying but failing to attach something to something because it doesn't stick,Trying but failing to attach something to something because it doesnt stick,0,0,0
Something-Something v2,203261.webm,Pulling something from left to right,Dropping something onto something,Pulling something from left to right,Pouring something out of something,Pouring something out of something,0,1,0
Something-Something v2,207362.webm,Something colliding with something and both are being deflected,Holding something,Hitting something with something,Lifting a surface with something on it until it starts sliding down,Lifting a surface with something on it until it starts sliding down,0,0,0
Something-Something v2,189004.webm,Unfolding something,Folding something,Unfolding something,Folding something,Pretending to scoop something up with something,1,1,1
Something-Something v2,1718.webm,Dropping something onto something,No action,Dropping something onto something,Dropping something onto something,Throwing something in the air and letting it fall,0,1,1
Something-Something v2,191907.webm,Pretending to take something from somewhere,Holding something,Pretending to take something from somewhere.,Lifting up one end of something without letting it drop down,Lifting up one end of something without letting it drop down,0,1,0
Something-Something v2,124501.webm,Pretending to squeeze something,Holding something,Pretending to squeeze something,Holding something,Stuffing something into something,0,1,0
Something-Something v2,124923.webm,Pouring something into something,Pouring something into something,Pouring something into something,Dropping something into something,Dropping something into something,1,1,0
Something-Something v2,20721.webm,Attaching something to something,Holding something,Attaching something to something,Pulling something out of something,Pulling something out of something,0,1,0
Something-Something v2,108214.webm,Moving something down,Holding something,Moving something down,Dropping something next to something,Spilling something next to something,0,1,0
Something-Something v2,4290.webm,"Removing something, revealing something behind",Holding something,Holding something,Putting something on a surface.,Putting something on a surface,0,0,0
Something-Something v2,122215.webm,Pretending to take something from somewhere,Applying paint,Pretending to take something from somewhere.,Twisting something,Twisting something,0,1,0
Something-Something v2,32209.webm,Pretending to put something on a surface,Approaching something with your camera,Pretending to put something on a surface,Pushing something off of something,Pushing something off of something,0,1,0
Something-Something v2,166983.webm,Lifting up one end of something without letting it drop down,Lifting a surface with something on it,Lifting up one end of something without letting it drop down,Holding something behind something,Holding something behind something,0,1,0
Something-Something v2,53556.webm,Tipping something over,Approaching something with your camera,Tipping something over.,Showing that something is empty,Showing that something is empty,0,1,0
Something-Something v2,134088.webm,Taking something from somewhere,No action detected.,Pretending to take something from somewhere,Turning the camera left while filming something,Turning the camera left while filming something,0,0,0
Something-Something v2,122932.webm,Putting something onto a slanted surface but it doesnt glide down,Covering something with something,Putting something onto a slanted surface but it doesnt glide down,Pulling something from right to left,Pulling something from right to left,0,1,0
Something-Something v2,68964.webm,Plugging something into something but pulling it right out as you remove your hand,Plugging something into something,Plugging something into something but pulling it right out as you remove your hand,Plugging something into something,Bending something until it breaks,1,1,1
Something-Something v2,106220.webm,Pretending to close something without actually closing it,Opening something,Pretending to close something without actually closing it.,Closing something,Putting something on a flat surface without letting it roll,0,1,0
Something-Something v2,217375.webm,Putting something into something,Putting something into something,Putting something into something,Holding something next to something,Showing something next to something,1,1,0
Something-Something v2,26405.webm,Showing that something is inside something,Holding something,Showing that something is inside something,Holding something,Lifting something up completely without letting it drop down,0,1,0
Something-Something v2,203097.webm,Putting something and something on the table,Dropping something onto something,Putting something and something on the table,Putting something onto a slanted surface but it doesnt glide down,Putting something onto a slanted surface but it doesnt glide down,0,1,0
Something-Something v2,37866.webm,Closing something,Opening something,Closing something,Pushing something from left to right,Pushing something from left to right,0,1,0
Something-Something v2,8350.webm,Moving something across a surface until it falls down,Holding something,Moving something across a surface until it falls down.,"Trying to pour something into something, but missing so it spills next to it.","Trying to pour something into something, but missing so it spills next to it",0,1,0
Something-Something v2,75694.webm,Uncovering something,Folding something,Uncovering something,"Putting something that cant roll onto a slanted surface, so it stays where it is.","Putting something that cant roll onto a slanted surface, so it stays where it is",0,1,0
Something-Something v2,33431.webm,"Laying something on the table on its side, not upright",None,"Laying something on the table on its side, not upright",Moving something away from something,Moving something away from something,0,1,0
Something-Something v2,49270.webm,Holding something behind something,Holding something,Holding something behind something,Putting something onto something,Putting something onto something,1,1,0
Something-Something v2,48243.webm,Pretending to put something behind something,Dropping something onto something,Pretending to put something behind something,Holding something,Moving something up,0,1,0
Something-Something v2,27656.webm,Holding something in front of something,Holding something,Holding something in front of something,Dropping something into something,Something falling like a feather or paper,1,1,0
Something-Something v2,40850.webm,Showing something behind something,No action,Showing something behind something,Turning the camera right while filming something,Turning the camera right while filming something,0,1,0
Something-Something v2,20966.webm,Picking something up,Holding something,Picking something up,"Pretending to pour something out of something, but something is empty.","Pretending to pour something out of something, but something is empty",0,1,0
Something-Something v2,80081.webm,Pushing something so that it falls off the table,Holding something,Pushing something so that it falls off the table.,Tipping something over.,Tipping something over,0,1,0
Something-Something v2,26515.webm,Hitting something with something,Holding something,Hitting something with something,Holding something,Spilling something onto something,0,1,0
Something-Something v2,18595.webm,Throwing something onto a surface,Folding something,Dropping something onto something,Pretending to scoop something up with something,Scooping something up with something,0,0,0
Something-Something v2,160828.webm,Putting number of something onto something,Holding something,Pretending to put something onto something,"Putting something, something and something on the table","Putting something, something and something on the table",0,0,0
Something-Something v2,35174.webm,Twisting (wringing) something wet until water comes out,Washing,Twisting (wringing) something wet until water comes out,Wiping something off of something,Putting something onto a slanted surface but it doesnt glide down,0,1,0
Something-Something v2,184978.webm,Something being deflected from something,Dropping something onto something,Dropping something onto something,Hitting something with something,Throwing something against something,0,0,0
Something-Something v2,73318.webm,"Putting something that cant roll onto a slanted surface, so it stays where it is",Holding something,"Putting something that cant roll onto a slanted surface, so it stays where it is.",Pretending to pick something up,Pretending to pick something up,0,1,0
Something-Something v2,215013.webm,Holding something,Holding something,Holding something,Pretending to throw something,Pretending to throw something,1,1,0
Something-Something v2,39975.webm,Poking something so lightly that it doesnt or almost doesnt move,Holding something,Poking a hole into something soft,Pretending or failing to wipe something off of something,Pretending or failing to wipe something off of something,0,0,0
Something-Something v2,82249.webm,"Tipping something with something in it over, so something in it falls out",Wiping something off of something,"Tipping something with something in it over, so something in it falls out",Letting something roll along a flat surface,Letting something roll along a flat surface,0,1,0
Something-Something v2,5818.webm,Spinning something that quickly stops spinning,No action,Spinning something that quickly stops spinning,Pretending to put something behind something,Pretending to put something behind something,0,1,0
Something-Something v2,59567.webm,Pretending to put something behind something,Pouring something into something,Pretending to put something behind something,"Putting something that cant roll onto a slanted surface, so it slides down","Putting something that cant roll onto a slanted surface, so it slides down",0,1,0
Something-Something v2,171117.webm,Moving something across a surface without it falling down,Holding something,Moving something across a surface without it falling down.,Pretending or failing to wipe something off of something,Pretending or failing to wipe something off of something,0,1,0
Something-Something v2,136169.webm,Tearing something just a little bit,Folding something,Tearing something just a little bit,Putting something underneath something,Putting something underneath something,0,1,0
Something-Something v2,17841.webm,Moving away from something with your camera,No action,Moving away from something with your camera,Taking one of many similar things on the table.,Taking one of many similar things on the table,0,1,0
Something-Something v2,211594.webm,Opening something,Holding something,Opening something,Tilting something with something on it until it falls off,Tilting something with something on it until it falls off,0,1,0
Something-Something v2,105797.webm,Showing something on top of something,No action,Showing something on top of something,Unfolding something,Unfolding something,0,1,0
Something-Something v2,214596.webm,"Lifting something up completely, then letting it drop down",Dropping something onto something,"Lifting something up completely, then letting it drop down.",Pushing something so that it almost falls off but doesnt.,Pushing something so that it almost falls off but doesnt,0,1,0
Something-Something v2,182459.webm,Pouring something onto something,Pouring something into something,Pouring something into something,Pouring something into something,Pulling something from right to left,0,0,0
Something-Something v2,125605.webm,Holding something over something,Lifting a surface with something on it,Holding something over something,"Lifting a surface with something on it, then letting it drop down",Digging something out of something,0,1,0
Something-Something v2,109470.webm,Pulling two ends of something so that it separates into two pieces,Holding something,Pulling two ends of something so that it separates into two pieces.,Holding something,Showing something on top of something,0,1,0
Something-Something v2,182633.webm,Poking a stack of something without the stack collapsing,Picking something up,Poking a stack of something without the stack collapsing,Pretending to turn something upside down.,Pretending to turn something upside down,0,1,0
Something-Something v2,190059.webm,Putting something similar to other things that are already on the table,Holding something,Putting something similar to other things that are already on the table.,Holding something,Opening something,0,1,0
Something-Something v2,146650.webm,Pretending to put something next to something,No action,Holding something next to something,Showing something behind something,Showing something behind something,0,0,0
Something-Something v2,27160.webm,Something colliding with something and both are being deflected,No action,Holding something,Poking a stack of something without the stack collapsing,Poking a stack of something without the stack collapsing,0,0,0
Something-Something v2,44445.webm,Pretending to spread air onto something,Applying cream,Pretending to spread air onto something,Applying cream,Pulling two ends of something so that it gets stretched,0,1,0
Something-Something v2,172214.webm,Pushing something onto something,Bending something until it breaks,Pushing something onto something,Pretending to close something without actually closing it.,Pretending to close something without actually closing it,0,1,0
Something-Something v2,1166.webm,Throwing something onto a surface,Dropping something onto something,Dropping something onto something,Pulling something from right to left,Pulling something from right to left,0,0,0
Something-Something v2,207934.webm,Digging something out of something,Dropping something into something,Digging something out of something,Pretending to put something into something,Pretending to put something into something,0,1,0
Something-Something v2,163906.webm,Pushing something from left to right,Holding something,Pushing something from left to right,Holding something,Throwing something in the air and catching it,0,1,0
Something-Something v2,106125.webm,Putting something upright on the table,Pouring something into something,Putting something upright on the table,"Pretending to pour something out of something, but something is empty.","Pretending to pour something out of something, but something is empty",0,1,0
Something-Something v2,101230.webm,"Tipping something with something in it over, so something in it falls out",Holding something,"Tipping something with something in it over, so something in it falls out",Sprinkling something onto something,Sprinkling something onto something,0,1,0
Something-Something v2,7450.webm,Trying but failing to attach something to something because it doesnt stick,Bending something until it breaks,Trying but failing to attach something to something because it doesnt stick,Bending something so that it deforms,Bending something so that it deforms,0,1,0
Something-Something v2,101157.webm,Putting something onto something else that cannot support it so it falls down,Holding something,Holding something,Holding something,Something colliding with something and both come to a halt,0,0,0
Something-Something v2,22588.webm,Putting something upright on the table,Holding something,Putting something upright on the table,Piling something up,Piling something up,0,1,0
Something-Something v2,50062.webm,Taking something out of something,Holding something,Pretending to take something from somewhere,"Laying something on the table on its side, not upright","Laying something on the table on its side, not upright",0,0,0
Something-Something v2,59707.webm,Throwing something against something,No action,Throwing something against something,Pouring something onto something,Pouring something onto something,0,1,0
Something-Something v2,169282.webm,Folding something,Holding something,Folding something,Holding something in front of something,Putting something in front of something,0,1,0
Something-Something v2,100776.webm,"Trying to pour something into something, but missing so it spills next to it",Pouring something into something,Pouring something into something,Showing something behind something,Showing something behind something,0,0,0
Something-Something v2,45984.webm,Plugging something into something,Attaching something to something,Plugging something into something,Plugging something into something,Squeezing something,0,1,1
Something-Something v2,158212.webm,Covering something with something,Holding something,Covering something with something,Pouring something out of something,Pouring something out of something,0,1,0
Something-Something v2,102011.webm,Turning the camera left while filming something,No action,Turning the camera left while filming something,"Removing something, revealing something behind","Removing something, revealing something behind",0,1,0
Something-Something v2,21344.webm,Showing something next to something,Dropping something next to something,Holding something next to something,Turning the camera left while filming something,Turning the camera left while filming something,0,0,0
Something-Something v2,19061.webm,Pretending to squeeze something,Holding something,Pretending to squeeze something,Holding something next to something,Showing something next to something,0,1,0
Something-Something v2,67979.webm,Piling something up,Burying something in something,Piling something up,"Putting something that cannot actually stand upright upright on the table, so it falls on its side.","Putting something that cannot actually stand upright upright on the table, so it falls on its side",0,1,0
Something-Something v2,47820.webm,Poking something so that it falls over,Holding something,Poking something so that it falls over.,Burying something in something,Burying something in something,0,1,0
Something-Something v2,171458.webm,Putting something underneath something,Dropping something onto something,Putting something underneath something,Letting something roll down a slanted surface,Letting something roll down a slanted surface,0,1,0
Something-Something v2,62492.webm,Putting something on a surface,Holding something,Putting something on a surface,Pretending to put something onto something,Pretending to put something onto something,0,1,0
Something-Something v2,14452.webm,Pulling two ends of something but nothing happens,Bending something until it breaks,Pulling two ends of something but nothing happens,Bending something until it breaks,Poking something so lightly that it doesnt or almost doesnt move,0,1,0
Something-Something v2,95752.webm,Pretending to take something out of something,Holding something,Pretending to take something out of something,Putting something behind something,Putting something behind something,0,1,0
Something-Something v2,129172.webm,Pushing something with something,Holding something,Pushing something with something,Holding something,Pouring something out of something,0,1,0
Something-Something v2,220846.webm,Showing something to the camera,Holding something,Holding something,Pretending to spread air onto something,Pretending to spread air onto something,0,0,0
