video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
TDQ3c39we9s.mp4,bobsledding,bobsledding,bobsledding,bobsledding,playing cricket,1,1,1
uMLQJfBRE40.mp4,dribbling basketball,dribbling basketball,dribbling basketball,dribbling basketball,faceplanting,1,1,1
e7TdOACIy_o.mp4,playing recorder,blowing nose,playing recorder,balloon blowing,planting trees,0,1,0
S9NhM3XuAZs.mp4,playing harp,playing harp,playing harp,playing harp,playing guitar,1,1,1
pI0_ZylFe5w.mp4,folding napkins,applauding,folding napkins,feeding goats,feeding goats,0,1,0
eSTBlNbGhko.mp4,cutting nails,answering questions,cutting nails,eating ice cream,eating ice cream,0,1,0
eHsi3GWMX3s.mp4,breakdancing,breakdancing,breakdancing,breakdancing,applying cream,1,1,1
XVM3RH5xZqM.mp4,filling eyebrows,filling eyebrows,filling eyebrows,filling eyebrows,blasting sand,1,1,1
a2SAO7ExWUs.mp4,hula hooping,hula hooping,hula hooping,hula hooping,country line dancing,1,1,1
7HLwQm8WDrI.mp4,finger snapping,answering questions,finger snapping,chopping wood,chopping wood,0,1,0
HVxm6MYvFjg.mp4,country line dancing,country line dancing,country line dancing,country line dancing,driving tractor,1,1,1
JcwS9u1FYo0.mp4,catching fish,swimming,catching fish,playing cymbals,playing cymbals,0,1,0
p72oj79Z_uA.mp4,headbutting,arguing,headbutting,cleaning pool,cleaning pool,0,1,0
vYYtpyq3ISA.mp4,bowling,bowling,bowling,bowling,crying,1,1,1
EjlzQ6kxHYM.mp4,eating chips,eating chips,eating chips,playing basketball,playing basketball,1,1,0
FmIxPnhH87c.mp4,playing harmonica,playing harmonica,playing harmonica,playing harmonica,hammer throw,1,1,1
Lvjcp0LulV0.mp4,building shed,building shed,building shed,building shed,doing aerobics,1,1,1
OLn-3fWjwy8.mp4,climbing ladder,monkey bars,climbing ladder,faceplanting,faceplanting,0,1,0
yDQ7Yaw_Sn0.mp4,curling hair,curling hair,curling hair,curling hair,golf driving,1,1,1
tCjvrv9mO9g.mp4,playing trumpet,playing trumpet,playing trumpet,playing trumpet,frying vegetables,1,1,1
Oe6UTZUXCrQ.mp4,blowing leaves,cleaning leaves,blowing leaves,blowing leaves,decorating the christmas tree,0,1,1
gGfKD9S78Ik.mp4,folding paper,folding paper,folding paper,dying hair,dying hair,1,1,0
y6VCdA3F8vw.mp4,bookbinding,paper cutting,bookbinding,playing piano,playing piano,0,1,0
BGIEZzO347k.mp4,high jump,running,high jump,giving or receiving award,giving or receiving award,0,1,0
MtiyZuTPuM8.mp4,headbanging,playing cards,headbanging,dancing ballet,dancing ballet,0,1,0
775bPqXjv1g.mp4,carrying baby,crying,crying,crying,dining,0,0,0
n8H1wkidsNs.mp4,playing didgeridoo,playing didgeridoo,playing didgeridoo,playing didgeridoo,playing drums,1,1,1
YpA091iTUE8.mp4,playing ukulele,playing ukulele,playing ukulele,playing ukulele,eating spaghetti,1,1,1
-YGUR0HXgyE.mp4,busking,busking,busking,busking,cooking chicken,1,1,1
63_Xu-Lb-oI.mp4,balloon blowing,balloon blowing,balloon blowing,crying,crying,1,1,0
d35AVX6S2ts.mp4,counting money,counting money,counting money,cleaning toilet,cleaning toilet,1,1,0
ZPuw9XbX8o8.mp4,playing basketball,dunking basketball,playing basketball,dunking basketball,clean and jerk,0,1,0
dU7W4hlzNnI.mp4,belly dancing,belly dancing,belly dancing,belly dancing,bowling,1,1,1
TL6ProvPAPM.mp4,cleaning windows,cleaning windows,cleaning windows,cleaning windows,playing ice hockey,1,1,1
rYR7UXTt2lM.mp4,breading or breadcrumbing,breading or breadcrumbing,breading or breadcrumbing,breading or breadcrumbing,catching or throwing softball,1,1,1
E8OtWWFpzRI.mp4,playing trumpet,playing trumpet,playing trumpet,playing trumpet,curling hair,1,1,1
AzxYTNWxEd0.mp4,cooking on campfire,barbequing,cooking on campfire,barbequing,bouncing on trampoline,0,1,0
NVedGeVPc30.mp4,drinking,drinking beer,drinking,playing piano,playing piano,1,1,0
MYkcQsKEKUg.mp4,blowing glass,blowing glass,blowing glass,blowing glass,getting a haircut,1,1,1
9XhT5d0MLqQ.mp4,cleaning gutters,cleaning gutters,cleaning gutters,cleaning gutters,playing tennis,1,1,1
Ki_PyuyFH7s.mp4,feeding birds,walking,feeding birds,playing cricket,playing cricket,0,1,0
Bz_UzA4Au2w.mp4,drinking beer,drinking,drinking beer,drinking,catching fish,1,1,1
phCDgUs-xuE.mp4,assembling computer,assembling computer,assembling computer,assembling computer,catching or throwing softball,1,1,1
7KqmVuKL-lg.mp4,carving pumpkin,carving pumpkin,carving pumpkin,carving pumpkin,chopping wood,1,1,1
6A1GUkCdQsM.mp4,beatboxing,brushing teeth,beatboxing,playing paintball,playing paintball,0,1,0
bfYXfdKIcTs.mp4,archery,archery,archery,feeding fish,feeding fish,1,1,0
djHx2iFsFEk.mp4,planting trees,planting trees,planting trees,planting trees,cooking chicken,1,1,1
xHtWqrXzeL8.mp4,brush painting,applying cream,brush painting,brush painting,playing keyboard,0,1,1
MOo8XL3S9lE.mp4,exercising with an exercise ball,exercising with an exercise ball,exercising with an exercise ball,exercising with an exercise ball,high jump,1,1,1
8k5LbCk1Yi8.mp4,barbequing,cooking on teppanyaki grill,barbequing,playing squash or racquetball,playing squash or racquetball,0,1,0
JmmVd5rvAlU.mp4,hammer throw,hammer throw,hammer throw,front raises,front raises,1,1,0
mBxMrqxwPyU.mp4,folding napkins,folding napkins,folding napkins,folding napkins,hitting baseball,1,1,1
YbwMENeFT48.mp4,gymnastics tumbling,cleaning floor,gymnastics tumbling,cooking on campfire,cooking on campfire,0,1,0
1BStfu5yDVI.mp4,cheerleading,cheerleading,cheerleading,cheerleading,blowing leaves,1,1,1
CZ0JKZTrQ60.mp4,feeding birds,feeding birds,feeding birds,feeding birds,catching or throwing frisbee,1,1,1
O_AkzabbvZg.mp4,eating doughnuts,eating doughnuts,eating doughnuts,country line dancing,country line dancing,1,1,0
sbTLuBYPH1Y.mp4,bandaging,applying cream,bandaging,clean and jerk,clean and jerk,0,1,0
L_APpgnxcZw.mp4,braiding hair,braiding hair,braiding hair,braiding hair,diving cliff,1,1,1
x43a-H0kgLI.mp4,grinding meat,carving pumpkin,grinding meat,carving pumpkin,cartwheeling,0,1,0
7LXUFzIm4sc.mp4,carving pumpkin,carving pumpkin,carving pumpkin,carving pumpkin,crossing river,1,1,1
V_vdMM0jP98.mp4,cleaning shoes,cleaning shoes,cleaning shoes,cleaning shoes,applauding,1,1,1
ym2eg-lUx8s.mp4,capoeira,capoeira,capoeira,capoeira,playing guitar,1,1,1
joN6_IGDa0U.mp4,answering questions,answering questions,answering questions,answering questions,gargling,1,1,1
TdJUEcnO3D8.mp4,golf putting,golf putting,golf putting,golf putting,braiding hair,1,1,1
C1Ya5kGj45U.mp4,cleaning toilet,cleaning toilet,cleaning toilet,cleaning toilet,cooking egg,1,1,1
BeRd0bat6cc.mp4,cooking chicken,cooking sausages,cooking chicken,cooking sausages,baking cookies,0,1,0
x5gX5bX2sW0.mp4,hoverboarding,hoverboarding,hoverboarding,hoverboarding,bandaging,1,1,1
7Cg1bs3VE7g.mp4,garbage collecting,garbage collecting,garbage collecting,garbage collecting,golf driving,1,1,1
D8aN64X6jCM.mp4,disc golfing,None,disc golfing,counting money,counting money,0,1,0
XJNlj1sv9z0.mp4,fixing hair,answering questions,fixing hair,playing didgeridoo,playing didgeridoo,0,1,0
PO2bY8GcXck.mp4,feeding fish,abseiling,feeding fish,braiding hair,braiding hair,0,1,0
U3V4yeEqtbA.mp4,applying cream,applying cream,applying cream,applying cream,picking fruit,1,1,1
