video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
v_Drumming_g23_c06.avi,Drumming,Drumming,Drumming,Drumming,HulaHoop,1,1,1
v_SumoWrestling_g14_c04.avi,SumoWrestling,SumoWrestling,SumoWrestling,SumoWrestling,Lunges,1,1,1
v_BaseballPitch_g07_c05.avi,BaseballPitch,BaseballPitch,BaseballPitch,BaseballPitch,TaiChi,1,1,1
v_LongJump_g18_c05.avi,LongJump,LongJump,LongJump,HandstandWalking,HandstandWalking,1,1,0
v_HammerThrow_g03_c05.avi,HammerThrow,HammerThrow,HammerThrow,HammerThrow,PushUps,1,1,1
v_Fencing_g21_c04.avi,Fencing,Fencing,Fencing,Fencing,BoxingPunchingBag,1,1,1
v_FrisbeeCatch_g25_c01.avi,FrisbeeCatch,FrisbeeCatch,FrisbeeCatch,FrisbeeCatch,CuttingInKitchen,1,1,1
v_JumpingJack_g14_c02.avi,JumpingJack,JumpRope,JumpingJack,MoppingFloor,MoppingFloor,0,1,0
v_PizzaTossing_g15_c03.avi,PizzaTossing,PizzaTossing,PizzaTossing,PizzaTossing,SumoWrestling,1,1,1
v_CricketBowling_g04_c02.avi,CricketBowling,Running,CricketBowling,JumpRope,Knitting,0,1,0
v_PlayingViolin_g14_c03.avi,PlayingViolin,PlayingViolin,PlayingViolin,PlayingViolin,Surfing,1,1,1
v_SkyDiving_g16_c01.avi,SkyDiving,SkyDiving,SkyDiving,SkyDiving,VolleyballSpiking,1,1,1
v_BrushingTeeth_g22_c05.avi,BrushingTeeth,ApplyEyeMakeup,BrushingTeeth,CricketShot,CricketShot,0,1,0
v_HulaHoop_g04_c04.avi,HulaHoop,HulaHoop,HulaHoop,HulaHoop,SkateBoarding,1,1,1
v_BasketballDunk_g09_c05.avi,BasketballDunk,Basketball,BasketballDunk,Basketball,RockClimbingIndoor,1,1,1
v_TableTennisShot_g05_c04.avi,TableTennisShot,TableTennisShot,TableTennisShot,HeadMassage,HeadMassage,1,1,0
v_PlayingSitar_g17_c02.avi,PlayingSitar,PlayingSitar,PlayingSitar,PlayingSitar,Lunges,1,1,1
v_RockClimbingIndoor_g25_c02.avi,RockClimbingIndoor,RockClimbingIndoor,RockClimbingIndoor,RockClimbingIndoor,Punch,1,1,1
v_TennisSwing_g12_c04.avi,TennisSwing,TennisSwing,TennisSwing,TennisSwing,ApplyEyeMakeup,1,1,1
v_RockClimbingIndoor_g06_c06.avi,RockClimbingIndoor,RockClimbingIndoor,RockClimbingIndoor,RockClimbingIndoor,HeadMassage,1,1,1
v_Rowing_g24_c03.avi,Rowing,Rowing,Rowing,Rowing,HandstandPushups,1,1,1
v_HandStandPushups_g12_c02.avi,HandstandPushups,HandstandWalking,HandstandPushups,HandstandWalking,Drumming,0,1,0
v_PlayingPiano_g24_c01.avi,PlayingPiano,PlayingPiano,PlayingPiano,PlayingPiano,Nunchucks,1,1,1
v_ApplyLipstick_g06_c05.avi,ApplyLipstick,ApplyLipstick,ApplyLipstick,ApplyLipstick,Rowing,1,1,1
v_SkateBoarding_g14_c03.avi,SkateBoarding,Skateboarding,Skateboarding,Skateboarding,ShavingBeard,1,1,1
v_BasketballDunk_g09_c01.avi,BasketballDunk,Basketball,BasketballDunk,Basketball,SoccerPenalty,1,1,1
v_PlayingTabla_g11_c03.avi,PlayingTabla,PlayingTabla,PlayingTabla,PlayingTabla,HorseRiding,1,1,1
v_Lunges_g10_c03.avi,Lunges,BenchPress,Lunges,BenchPress,PlayingDhol,0,1,0
v_ThrowDiscus_g15_c03.avi,ThrowDiscus,HammerThrow,ThrowDiscus,HammerThrow,ParallelBars,0,1,0
v_Biking_g07_c02.avi,Biking,Biking,Biking,PizzaTossing,PizzaTossing,1,1,0
v_PlayingDaf_g14_c03.avi,PlayingDaf,Drumming,PlayingDaf,Drumming,Surfing,0,1,0
v_Diving_g14_c03.avi,Diving,Diving,Diving,FieldHockeyPenalty,FieldHockeyPenalty,1,1,0
v_CricketBowling_g19_c02.avi,CricketBowling,CricketShot,CricketBowling,CricketShot,PlayingViolin,0,1,0
v_WalkingWithDog_g17_c03.avi,WalkingWithDog,WalkingWithDog,WalkingWithDog,PlayingDhol,PlayingDhol,1,1,0
v_BodyWeightSquats_g09_c06.avi,BodyWeightSquats,WallPushups,BodyWeightSquats,UnevenBars,UnevenBars,0,1,0
v_Drumming_g19_c06.avi,Drumming,Drumming,Drumming,Drumming,CliffDiving,1,1,1
v_BalanceBeam_g04_c03.avi,BalanceBeam,FloorGymnastics,BalanceBeam,StillRings,StillRings,0,1,0
v_CricketShot_g06_c07.avi,CricketShot,CricketShot,CricketShot,CricketShot,Biking,1,1,1
v_HeadMassage_g19_c05.avi,HeadMassage,Haircut,HeadMassage,Haircut,HandstandPushups,0,1,0
v_Hammering_g22_c05.avi,Hammering,Hammering,Hammering,Hammering,PlayingViolin,1,1,1
v_CliffDiving_g12_c05.avi,CliffDiving,CliffDiving,CliffDiving,CliffDiving,StillRings,1,1,1
v_Punch_g10_c02.avi,Punch,BrushingTeeth,Punch,SkyDiving,SkyDiving,0,1,0
v_GolfSwing_g01_c06.avi,GolfSwing,GolfSwing,GolfSwing,GolfSwing,Skiing,1,1,1
v_WallPushups_g12_c03.avi,WallPushups,WallPushups,WallPushups,WallPushups,HulaHoop,1,1,1
v_IceDancing_g07_c07.avi,IceDancing,IceDancing,IceDancing,IceDancing,Billiards,1,1,1
v_FieldHockeyPenalty_g13_c01.avi,FieldHockeyPenalty,CricketShot,FieldHockeyPenalty,CricketShot,WalkingWithDog,0,1,0
v_BrushingTeeth_g03_c01.avi,BrushingTeeth,BrushingTeeth,BrushingTeeth,BrushingTeeth,FrontCrawl,1,1,1
v_YoYo_g16_c05.avi,YoYo,JugglingBalls,YoYo,SumoWrestling,SumoWrestling,0,1,0
v_SalsaSpin_g20_c04.avi,SalsaSpin,Dancing,SalsaSpin,HighJump,HighJump,0,1,0
v_StillRings_g21_c01.avi,StillRings,ParallelBars,StillRings,FieldHockeyPenalty,FieldHockeyPenalty,0,1,0
v_HammerThrow_g16_c04.avi,HammerThrow,HammerThrow,HammerThrow,HammerThrow,Diving,1,1,1
v_Bowling_g20_c02.avi,Bowling,Bowling,Bowling,Bowling,BrushingTeeth,1,1,1
v_VolleyballSpiking_g24_c02.avi,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,BabyCrawling,1,1,1
v_MoppingFloor_g15_c04.avi,MoppingFloor,MoppingFloor,MoppingFloor,BandMarching,BandMarching,1,1,0
v_Shotput_g18_c03.avi,Shotput,Shotput,Shotput,HammerThrow,FrontCrawl,1,1,0
v_FloorGymnastics_g02_c02.avi,FloorGymnastics,FloorGymnastics,FloorGymnastics,FloorGymnastics,PlayingFlute,1,1,1
v_BlowDryHair_g04_c01.avi,BlowDryHair,BlowDryHair,BlowDryHair,BlowDryHair,SkateBoarding,1,1,1
v_SoccerJuggling_g08_c02.avi,SoccerJuggling,SoccerJuggling,SoccerJuggling,SoccerJuggling,WritingOnBoard,1,1,1
v_PlayingTabla_g25_c05.avi,PlayingTabla,PlayingTabla,PlayingTabla,PlayingTabla,BenchPress,1,1,1
v_Mixing_g20_c03.avi,Mixing,Fencing,Mixing,PlayingDaf,PlayingDaf,0,1,0
v_RopeClimbing_g08_c03.avi,RopeClimbing,RockClimbingIndoor,RopeClimbing,Mixing,Mixing,0,1,0
v_WritingOnBoard_g15_c05.avi,WritingOnBoard,WritingOnBoard,WritingOnBoard,WritingOnBoard,Skiing,1,1,1
v_BlowDryHair_g13_c03.avi,BlowDryHair,BlowDryHair,BlowDryHair,BlowDryHair,RopeClimbing,1,1,1
v_FloorGymnastics_g08_c01.avi,FloorGymnastics,FloorGymnastics,FloorGymnastics,FloorGymnastics,CuttingInKitchen,1,1,1
v_BabyCrawling_g19_c04.avi,BabyCrawling,BabyCrawling,BabyCrawling,ThrowDiscus,ThrowDiscus,1,1,0
v_FrontCrawl_g05_c03.avi,FrontCrawl,FrontCrawl,FrontCrawl,TaiChi,TaiChi,1,1,0
v_Kayaking_g07_c01.avi,Kayaking,Kayaking,Kayaking,Kayaking,LongJump,1,1,1
v_SkyDiving_g01_c02.avi,SkyDiving,SkyDiving,SkyDiving,SkyDiving,PlayingPiano,1,1,1
v_SoccerJuggling_g14_c06.avi,SoccerJuggling,Basketball,SoccerJuggling,Lunges,Lunges,0,1,0
v_FrontCrawl_g03_c03.avi,FrontCrawl,FrontCrawl,FrontCrawl,FrontCrawl,GolfSwing,1,1,1
v_Biking_g17_c02.avi,Biking,Biking,Biking,Biking,BrushingTeeth,1,1,1
v_SkateBoarding_g01_c02.avi,SkateBoarding,Skateboarding,Skateboarding,SkateBoarding,SoccerPenalty,1,1,1
v_PlayingGuitar_g24_c03.avi,PlayingGuitar,PlayingGuitar,PlayingGuitar,PlayingGuitar,TableTennisShot,1,1,1
